fold,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,val_accuracy,val_balanced_accuracy,val_f1,val_roc_auc,val_auprc
0,300,3,2,3,sqrt,0.7333333333333333,0.5795454545454546,0.8333333333333334,0.6590909090909091,0.8829072442708807
1,300,3,2,1,sqrt,0.7333333333333333,0.5,0.8461538461538461,0.8636363636363635,0.9584022038567492
2,500,3,2,5,sqrt,0.7857142857142857,0.5,0.88,0.7878787878787878,0.9442325351416261
3,500,3,2,5,sqrt,0.9285714285714286,0.8333333333333333,0.9565217391304348,1.0,1.0
4,300,3,2,5,sqrt,0.7857142857142857,0.625,0.8695652173913043,0.625,0.8529836829836829
