fold,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,scale_pos_weight,top_k_features,val_accuracy,val_balanced_accuracy,val_f1,val_roc_auc,val_auprc,val_threshold
0,0.1,4,1.0,1.0,0.8,10.0,0.0,0.5,1.5,-1,0.6666666666666666,0.6136363636363636,0.7619047619047619,0.8181818181818182,0.9339761248852158,0.6
1,0.03,3,1.0,0.7,0.4,0.0,0.5,2.0,1.0,-1,0.7333333333333333,0.5,0.8461538461538461,0.8181818181818181,0.9193473193473193,0.5499999999999999
2,0.1,6,2.0,1.0,0.6,5.0,0.5,0.0,1.5,2000,0.7857142857142857,0.5,0.88,1.0,1.0,0.3
3,0.1,4,1.0,1.0,0.8,10.0,0.0,0.5,1.5,-1,0.7857142857142857,0.5,0.88,0.8030303030303031,0.9030303030303031,0.3
4,0.1,6,2.0,1.0,0.6,5.0,0.5,0.0,1.5,2000,0.7142857142857143,0.5,0.8333333333333334,0.9125000000000001,0.9587412587412587,0.475
