fold,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,scale_pos_weight,top_k_features,val_accuracy,val_balanced_accuracy,val_f1,val_roc_auc,val_auprc,val_threshold
0,0.1,2,1.0,0.85,0.6,1.0,0.5,2.0,1.429,10000,0.8571428571428571,0.875,0.8571428571428571,1.0,1.0,0.425
1,0.05,6,1.0,0.7,0.3,0.0,0.0,0.5,2.143,2000,0.42857142857142855,0.5,0.6,0.25,0.36904761904761907,0.5499999999999999
2,0.1,5,2.0,0.85,1.0,1.0,1.0,2.0,1.429,2000,0.7142857142857143,0.75,0.75,0.75,0.6388888888888888,0.5
3,0.1,5,2.0,0.85,1.0,1.0,1.0,2.0,1.429,2000,0.7142857142857143,0.75,0.75,0.8333333333333333,0.7333333333333334,0.475
4,0.05,8,1.0,1.0,0.6,1.0,0.1,2.0,1.429,-1,0.8333333333333334,0.875,0.8,0.75,0.5833333333333333,0.5249999999999999
