fold,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,val_accuracy,val_balanced_accuracy,val_f1,val_roc_auc,val_auprc
0,200,3,2,5,sqrt,0.42857142857142855,0.41666666666666663,0.3333333333333333,0.5,0.6428571428571428
1,200,3,2,3,sqrt,0.8571428571428571,0.8333333333333333,0.8,0.8333333333333333,0.8666666666666667
2,200,3,2,3,sqrt,0.5714285714285714,0.5416666666666666,0.4,0.75,0.7555555555555555
3,200,3,2,3,sqrt,0.7142857142857143,0.75,0.75,0.75,0.6388888888888888
4,200,3,2,3,sqrt,0.5,0.5,0.4,0.75,0.75
