fold,best_loss,best_C,val_accuracy,val_balanced_accuracy,val_f1,val_roc_auc,val_auprc
0,hinge,0.01,0.6363636363636364,0.7142857142857143,0.6,0.7142857142857143,0.857142857142857
1,hinge,0.01,0.8181818181818182,0.8571428571428572,0.8333333333333334,0.8571428571428571,0.9480519480519478
2,hinge,0.01,0.8181818181818182,0.8035714285714286,0.8571428571428571,0.9285714285714286,0.9617346938775508
3,hinge,0.01,1.0,1.0,1.0,1.0,0.9999999999999998
4,squared_hinge,0.001,0.7,0.75,0.6666666666666666,0.8333333333333334,0.8972222222222221
