fold,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,scale_pos_weight,top_k_features,val_accuracy,val_balanced_accuracy,val_f1,val_roc_auc,val_auprc,val_threshold
0,0.1,5,2.0,1.0,0.8,0.0,0.0,1.0,1.0,-1,0.6363636363636364,0.6607142857142857,0.6666666666666666,0.7857142857142857,0.8857142857142857,0.6
1,0.1,5,2.0,1.0,0.8,0.0,0.0,1.0,1.0,-1,0.8181818181818182,0.75,0.875,0.8928571428571428,0.9379251700680271,0.6
2,0.1,5,1.0,1.0,1.0,0.0,0.0,1.0,1.5,-1,0.8181818181818182,0.8035714285714286,0.8571428571428571,0.8214285714285714,0.9276437847866419,0.5499999999999999
3,0.1,8,1.0,1.0,1.0,0.0,0.0,1.0,1.0,10000,0.7272727272727273,0.7857142857142857,0.7272727272727273,0.8571428571428572,0.9325396825396826,0.575
4,0.1,2,2.0,0.85,0.4,0.0,0.5,0.5,1.0,10000,0.9,0.875,0.9230769230769231,1.0,1.0,0.6
