fold,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,scale_pos_weight,val_accuracy,val_balanced_accuracy,val_f1,val_roc_auc,val_auprc
0,1000,0.03,2,1.0,1.0,1.0,20.0,0.5,0.0,1.5,0.5454545454545454,0.48214285714285715,0.6666666666666666,0.7857142857142857,0.9095238095238094
1,2000,0.005,4,1.0,1.0,0.5,5.0,1.0,0.0,1.0,0.8181818181818182,0.75,0.875,0.8928571428571428,0.9379251700680271
2,1000,0.05,2,1.0,0.5,0.5,1.0,0.1,0.5,1.0,0.7272727272727273,0.625,0.8235294117647058,0.8571428571428572,0.9325396825396826
3,1000,0.01,2,1.0,1.0,1.0,5.0,0.0,0.5,1.0,0.7272727272727273,0.7857142857142857,0.7272727272727273,0.7678571428571428,0.8806122448979592
4,500,0.03,2,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9,0.875,0.9230769230769231,1.0,1.0
