fold,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,val_accuracy,val_balanced_accuracy,val_f1,val_roc_auc,val_auprc
0,300,3,2,3,log2,0.2727272727272727,0.26785714285714285,0.3333333333333333,0.25,0.5304421768707483
1,300,3,2,5,sqrt,0.6363636363636364,0.5,0.7777777777777778,0.6428571428571428,0.8385281385281385
2,500,3,2,1,sqrt,0.6363636363636364,0.5,0.7777777777777778,0.4642857142857143,0.7232993197278912
3,300,3,2,5,sqrt,0.8181818181818182,0.75,0.875,0.7142857142857143,0.8441043083900226
4,300,3,2,1,sqrt,0.7,0.625,0.8,0.625,0.7513888888888888
