task,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,scale_pos_weight,top_k_features,n_estimators_max,early_stopping_rounds,decision_threshold,best_iteration,train_samples,test_samples,features,cv_accuracy_mean,cv_balanced_accuracy_mean,cv_f1_mean,cv_roc_auc_mean,cv_auprc_mean,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_auprc,nonzero_importance_features
healthy_vs_infected,0.1,8,1.0,0.7,0.8,0.0,1.0,0.0,1.5,-1,2000,50,0.5,5,72,18,35882,0.7371428571428571,0.5227272727272727,0.8402783882783883,0.8703787878787879,0.9430190012008193,0.7777777777777778,0.5,0.7777777777777778,1.0,0.875,0.9821428571428572,0.9952380952380953,42
severe_vs_nonsevere,0.03,8,1.0,0.7,0.4,1.0,0.1,0.5,1.429,2000,2000,50,0.5,8,34,9,2000,0.7095238095238096,0.75,0.7514285714285714,0.7166666666666666,0.6649206349206349,0.6666666666666666,0.625,1.0,0.25,0.4,0.5,0.6349206349206349,49
symptomatic_non_covid_vs_covid,0.1,3,1.0,0.5,0.8,0.0,0.0,0.5,1.0,2000,2000,50,0.5249999999999999,14,54,14,2000,0.78,0.775,0.809831834831835,0.8714285714285716,0.9367645846217275,0.8571428571428571,0.8,0.8181818181818182,1.0,0.9,0.9555555555555555,0.9797979797979798,38
