task,model,penalty,C,l1_ratio,top_k_features,train_samples,test_samples,features,cv_accuracy_mean,cv_balanced_accuracy_mean,cv_f1_mean,cv_roc_auc_mean,cv_auprc_mean,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_auprc,nonzero_coefficients
healthy_vs_infected,l1_C=1,l1,1.0,,5000,72,18,35882,0.9447619047619048,0.9459090909090909,0.9595959595959596,0.9627272727272727,0.987862258953168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67
healthy_vs_infected,l1_C=10,l1,10.0,,5000,72,18,35882,0.9447619047619048,0.9309090909090909,0.9618181818181819,0.9672727272727272,0.9896804407713498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200
healthy_vs_infected,elasticnet_C=0.1_l1_ratio=0.5,elasticnet,0.1,0.5,5000,72,18,35882,0.917142857142857,0.9277272727272727,0.9396825396825396,0.9681818181818181,0.9896602387511478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,64
healthy_vs_infected,l1_C=0.1,l1,0.1,,5000,72,18,35882,0.8904761904761903,0.9012121212121211,0.9151138716356109,0.9596969696969697,0.9864921946740128,0.9444444444444444,0.9642857142857143,1.0,0.9285714285714286,0.9629629629629629,0.9821428571428572,0.9952380952380953,4
healthy_vs_infected,elasticnet_C=1_l1_ratio=0.5,elasticnet,1.0,0.5,5000,72,18,35882,0.8485714285714285,0.8972727272727272,0.8802614379084968,0.9627272727272727,0.987862258953168,0.9444444444444444,0.9642857142857143,1.0,0.9285714285714286,0.9629629629629629,1.0,1.0,799
healthy_vs_infected,normal_default_l2_C=1,l2,1.0,,5000,72,18,35882,0.7933333333333333,0.86,0.82953216374269,0.9245454545454544,0.9738414565232747,0.7777777777777778,0.8571428571428572,1.0,0.7142857142857143,0.8333333333333334,0.9821428571428572,0.9952380952380953,5000
healthy_vs_infected,l2_C=0.1,l2,0.1,,5000,72,18,35882,0.7657142857142858,0.8418181818181818,0.8022875816993464,0.9204545454545455,0.9727183372183372,0.7777777777777778,0.8571428571428572,1.0,0.7142857142857143,0.8333333333333334,0.9821428571428572,0.9952380952380953,5000
healthy_vs_infected,l2_C=10,l2,10.0,,5000,72,18,35882,0.7647619047619048,0.8418181818181818,0.8022875816993464,0.9295454545454545,0.975123507805326,0.7777777777777778,0.8571428571428572,1.0,0.7142857142857143,0.8333333333333334,0.9821428571428572,0.9952380952380953,5000
healthy_vs_infected,l2_C=0.01,l2,0.01,,5000,72,18,35882,0.7647619047619048,0.8409090909090908,0.7984864121087031,0.93,0.976458006639825,0.7777777777777778,0.8571428571428572,1.0,0.7142857142857143,0.8333333333333334,0.9821428571428572,0.9952380952380953,5000
healthy_vs_infected,l1_C=0.01,l1,0.01,,5000,72,18,35882,0.24952380952380954,0.5,0.0,0.5,0.7504761904761905,0.2222222222222222,0.5,0.0,0.0,0.0,0.5,0.7777777777777778,0
severe_vs_nonsevere,elasticnet_C=0.1_l1_ratio=0.5,elasticnet,0.1,0.5,5000,34,9,35882,0.8857142857142858,0.8833333333333332,0.862857142857143,0.95,0.9566666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32
severe_vs_nonsevere,elasticnet_C=1_l1_ratio=0.5,elasticnet,1.0,0.5,5000,34,9,35882,0.7666666666666667,0.7833333333333333,0.7576190476190476,0.8666666666666666,0.8744444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,840
severe_vs_nonsevere,normal_default_l2_C=1,l2,1.0,,5000,34,9,35882,0.7333333333333333,0.7583333333333333,0.7309523809523809,0.7583333333333333,0.731111111111111,0.7777777777777778,0.8,0.6666666666666666,1.0,0.8,1.0,1.0,5000
severe_vs_nonsevere,l2_C=0.01,l2,0.01,,5000,34,9,35882,0.7333333333333333,0.7583333333333333,0.7309523809523809,0.6833333333333333,0.6919047619047619,0.7777777777777778,0.8,0.6666666666666666,1.0,0.8,1.0,1.0,5000
severe_vs_nonsevere,l2_C=0.1,l2,0.1,,5000,34,9,35882,0.7333333333333333,0.7583333333333333,0.7309523809523809,0.7583333333333333,0.731111111111111,0.7777777777777778,0.8,0.6666666666666666,1.0,0.8,1.0,1.0,5000
severe_vs_nonsevere,l2_C=10,l2,10.0,,5000,34,9,35882,0.7333333333333333,0.7583333333333333,0.7309523809523809,0.775,0.7411111111111109,0.8888888888888888,0.9,0.8,1.0,0.8888888888888888,1.0,1.0,5000
severe_vs_nonsevere,l1_C=1,l1,1.0,,5000,34,9,35882,0.7380952380952381,0.7583333333333333,0.7290476190476189,0.9166666666666666,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42
severe_vs_nonsevere,l1_C=10,l1,10.0,,5000,34,9,35882,0.7380952380952381,0.7583333333333333,0.7290476190476189,0.8666666666666666,0.8744444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,167
severe_vs_nonsevere,l1_C=0.1,l1,0.1,,5000,34,9,35882,0.6476190476190475,0.5666666666666667,0.16,0.6833333333333333,0.6214285714285713,0.7777777777777778,0.75,1.0,0.5,0.6666666666666666,0.85,0.8541666666666666,2
severe_vs_nonsevere,l1_C=0.01,l1,0.01,,5000,34,9,35882,0.5904761904761904,0.5,0.0,0.5,0.4095238095238095,0.5555555555555556,0.5,0.0,0.0,0.0,0.5,0.4444444444444444,0
symptomatic_non_covid_vs_covid,l1_C=1,l1,1.0,,5000,54,14,35882,0.9436363636363637,0.9547619047619047,0.9484848484848485,0.9857142857142858,0.9936507936507935,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,48
