task,best_loss,best_C,top_k_features,train_samples,test_samples,cv_accuracy_mean,cv_balanced_accuracy_mean,cv_f1_mean,cv_roc_auc_mean,cv_auprc_mean,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_auprc
healthy_vs_infected,squared_hinge,0.001,5000,72,18,0.779047619047619,0.85,0.8128654970760234,0.9145454545454544,0.9711061917880099,0.7777777777777778,0.8571428571428572,1.0,0.7142857142857143,0.8333333333333334,0.9821428571428572,0.9952380952380953
severe_vs_nonsevere,hinge,0.01,5000,34,9,0.761904761904762,0.7916666666666666,0.7666666666666666,0.7416666666666666,0.72,0.7777777777777778,0.8,0.6666666666666666,1.0,0.8,1.0,1.0
symptomatic_non_covid_vs_covid,squared_hinge,0.01,5000,54,14,0.7945454545454546,0.825,0.7914285714285714,0.8666666666666666,0.9328303442589154,0.8571428571428571,0.8888888888888888,1.0,0.7777777777777778,0.875,0.9333333333333333,0.9674523007856344
