task,model,penalty,C,l1_ratio,top_k_features,train_samples,test_samples,features,cv_accuracy_mean,cv_balanced_accuracy_mean,cv_f1_mean,cv_roc_auc_mean,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,nonzero_coefficients
healthy_vs_infected,l1_C=1,l1,1.0,,5000,72,18,35882,0.8888888888888888,0.8888888888888888,0.9214526214526214,0.9444444444444445,1.0,1.0,1.0,1.0,1.0,1.0,67
symptomatic_non_covid_vs_covid,l1_C=10,l1,10.0,,5000,54,14,35882,0.8518518518518517,0.8427128427128427,0.8850931677018634,0.8612914862914863,1.0,1.0,1.0,1.0,1.0,1.0,252
severe_vs_nonsevere,elasticnet_C=1_l1_ratio=0.5,elasticnet,1.0,0.5,5000,34,9,35882,0.7954545454545454,0.8063492063492065,0.7811447811447811,0.8253968253968255,1.0,1.0,1.0,1.0,1.0,1.0,840
